Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,68,GC07P055019,61.44247818,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
RAD51,RAD51 Recombinase,Protein Coding,Q06609,65,GC15P040694,57.64472198,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51
PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",Protein Coding,P54278,61,GC07M005973,57.64117432,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,P01116,66,GC12M037206,55.89910507,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS
STK11,Serine/Threonine Kinase 11,Protein Coding,Q15831,62,GC19P001177,53.63373566,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11
CCND1,Cyclin D1,Protein Coding,P24385,65,GC11P069641,51.05085754,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1
APC,APC Regulator Of Wnt Signaling Pathway,Protein Coding,P25054,62,GC05P112707,50.30143356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC
PPM1D,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1D",Protein Coding,O15297,60,GC17P060600,48.65737534,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1D
FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,P21802,68,GC10M121478,48.13813019,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2
FANCC,FA Complementation Group C,Protein Coding,Q00597,60,GC09M095099,48.00818253,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC
AR,Androgen Receptor,Protein Coding,P10275,65,GC0XP067544,47.81085205,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,P01106,65,GC08P127735,45.83614349,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
CTNNB1,Catenin Beta 1,Protein Coding,P35222,66,GC03P041194,43.8779068,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
EPCAM,Epithelial Cell Adhesion Molecule,Protein Coding,P16422,61,GC02P047345,43.6693573,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM
MRE11,"MRE11 Homolog, Double Strand Break Repair Nuclease",Protein Coding,P49959,61,GC11M143522,43.58614731,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,Q8N726,63,GC09M021967,41.87071991,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A
CASP8,Caspase 8,Protein Coding,Q14790,65,GC02P201233,41.35914993,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8
ABCC1,ATP Binding Cassette Subfamily C Member 1 (ABCC1 Blood Group),Protein Coding,P33527,61,GC16P015949,40.96289825,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC1
NF1,Neurofibromin 1,Protein Coding,P21359,60,GC17P031094,40.91881561,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1
BLM,BLM RecQ Like Helicase,Protein Coding,P54132,62,GC15P090717,40.90802002,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLM
CYP19A1,Cytochrome P450 Family 19 Subfamily A Member 1,Protein Coding,P11511,60,GC15M051208,40.78826523,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1
SMAD4,SMAD Family Member 4,Protein Coding,Q13485,66,GC18P051028,40.14276123,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4
AXIN2,Axin 2,Protein Coding,Q9Y2T1,62,GC17M065528,39.92106628,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN2
PGR,Progesterone Receptor,Protein Coding,P06401,62,GC11M143573,39.57007599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR
POLE,"DNA Polymerase Epsilon, Catalytic Subunit",Protein Coding,Q07864,60,GC12M132841,39.07386017,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE
MDM2,MDM2 Proto-Oncogene,Protein Coding,Q00987,66,GC12P068808,39.05643463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2
CYP17A1,Cytochrome P450 Family 17 Subfamily A Member 1,Protein Coding,P05093,62,GC10M102830,38.59761047,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1
RET,Ret Proto-Oncogene,Protein Coding,P07949,67,GC10P053525,38.44792938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,P42345,68,GC01M011106,38.14962769,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR
CDK4,Cyclin Dependent Kinase 4,Protein Coding,P11802,66,GC12M060752,38.10454178,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4
GATA3,GATA Binding Protein 3,Protein Coding,P23771,63,GC10P008045,37.99615097,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3
BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,Protein Coding,P36894,65,GC10P128546,37.6944313,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P05412,63,GC01M058780,37.3417778,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN
ERBB3,Erb-B2 Receptor Tyrosine Kinase 3,Protein Coding,P21860,67,GC12P081625,37.13618088,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,P12931,63,GC20P037344,36.85793304,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC
RB1,RB Transcriptional Corepressor 1,Protein Coding,P06400,62,GC13P048303,36.77435684,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1
IL6,Interleukin 6,Protein Coding,P05231,63,GC07P022725,36.45817566,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
